reaction,name,pct_st443,pct_others,pct_diff,p,ec,kegg
rxn00532_c0,3-oxopropanoate:NADP+ oxidoreductase (CoA-malonylating),0.0,89.87,-89.87,1.197610166400479e-06,1.2.1.75,R00740
rxn00912_c0,"5,10-Methylenetetrahydrofolate:3-methyl-2-oxobutanoate hydroxymethyltransferase",0.0,89.87,-89.87,1.197610166400479e-06,2.1.2.11,R01226
rxn16218_c0,(R)-4-phosphopantoate:beta-alanine ligase (AMP-forming),0.0,89.87,-89.87,1.197610166400479e-06,6.3.2.36,
rxn00905_c0,2-dehydropantoate formaldehyde-lyase (3-methyl-2-oxobutanoate-forming),0.0,89.87,-89.87,1.197610166400479e-06,2.1.2.11,R01216
rxn01791_c0,(R)-Pantoate:beta-alanine ligase (AMP-forming),0.0,89.87,-89.87,1.197610166400479e-06,6.3.2.1,R02473
rxn01790_c0,(R)-Pantoate:NADP+ 2-oxidoreductase,0.0,89.87,-89.87,1.197610166400479e-06,,R02472
rxn00346_c0,L-aspartate 1-carboxy-lyase (beta-alanine-forming),0.0,89.87,-89.87,1.197610166400479e-06,4.1.1.11,R00489
rxn04866_c0,R07060,0.0,88.61,-88.61,2.129084740267518e-06,1.1.1.271,R07060
rxn04865_c0,R07059,0.0,88.61,-88.61,2.129084740267518e-06,1.1.1.271,R07059
rxn03962_c0,"GDP-L-fucose:NADP+ 4-oxidoreductase (3,5-epimerizing)",0.0,88.61,-88.61,2.129084740267518e-06,1.1.1.271,R05692
rxn12375_c0,transport of betaine [extraorganism-cytosol](secondary symport),0.0,83.54,-83.54,1.442715463859598e-05,,
EX_cpd00540_e0,BET-e0 Exchange,0.0,83.54,-83.54,1.442715463859598e-05,,
rxn05579_c0,"Glycine betaine transport via proton symport, reversible",0.0,83.54,-83.54,1.442715463859598e-05,,
rxn11216_c0,betaine ABC transporter permease and substrate binding protein,0.0,82.28,-82.28,2.1640731957893967e-05,,
rxn00657_c0,beta-alanine:2-oxoglutarate aminotransferase,14.29,89.87,-75.59,4.087842701313636e-05,2.6.1.19,R00908
rxn00642_c0,"GDP-mannose 4,6-hydro-lyase (GDP-4-dehydro-6-deoxy-D-mannose-forming)",14.29,88.61,-74.32,6.733230491096026e-05,4.2.1.47,R00888
rxn12529_c0,TRANS-RXNAVI-26524.ce.brachyexp.GLYCEROL_GLYCEROL,0.0,69.62,-69.62,0.0004893870634518,,
EX_cpd00100_e0,Glycerol-e0 Exchange,0.0,69.62,-69.62,0.0004893870634518,,
rxn05578_c0,TRANS-RXNBWI-115531.ce,0.0,69.62,-69.62,0.0004893870634518,,
rxn00358_c0,UDP-D-galactopyranose furanomutase,14.29,79.75,-65.46,0.0009204524659424,5.4.99.9,R00505
rxn03358_c0,3-Hydroxykynurenamine:oxygen oxidoreductase(deaminating)(flavin-containing),0.0,64.56,-64.56,0.0012514923879041,1.4.3.21;1.4.3.4;1.4.3.9,R04907
rxn00211_c0,UDP-glucose:NAD+ 6-oxidoreductase,0.0,64.56,-64.56,0.0012514923879041,1.1.1.22,
rxn25797_c0,RXN-9739.c,0.0,63.29,-63.29,0.0015535767573982,,
rxn03359_c0,5-Hydroxykynurenamine:oxygen oxidoreductase(deaminating)(flavin-containing),0.0,63.29,-63.29,0.0015535767573982,1.4.3.21;1.4.3.4;1.4.3.9,
rxn01836_c0,"4-[(1R)-2-Amino-1-hydroxyethyl]-1,2-benzenediol:oxygen oxidoreductase(deaminating)(flavin-containing)",0.0,63.29,-63.29,0.0015535767573982,1.4.3.21;1.4.3.4;1.4.3.9,R02532
rxn11875_c0,didemethylcitalopram:oxygen oxidoreductase(deaminating)(flavin-containing),0.0,63.29,-63.29,0.0015535767573982,1.4.3.21;1.4.3.4;1.4.3.9,R08348
rxn01715_c0,Tyramine:oxygen oxidoreductase(deaminating)(flavin-containing),0.0,63.29,-63.29,0.0015535767573982,1.4.3.21;1.4.3.4;1.4.3.9,R02382
