reaction,name,pct_st443,pct_others,pct_diff,p
rxn00532_c0,3-oxopropanoate:NADP+ oxidoreductase (CoA-malonylating),0.0,89.87,-89.87,1.197610166400479e-06
rxn00912_c0,"5,10-Methylenetetrahydrofolate:3-methyl-2-oxobutanoate hydroxymethyltransferase",0.0,89.87,-89.87,1.197610166400479e-06
rxn16218_c0,(R)-4-phosphopantoate:beta-alanine ligase (AMP-forming),0.0,89.87,-89.87,1.197610166400479e-06
rxn00905_c0,2-dehydropantoate formaldehyde-lyase (3-methyl-2-oxobutanoate-forming),0.0,89.87,-89.87,1.197610166400479e-06
rxn01791_c0,(R)-Pantoate:beta-alanine ligase (AMP-forming),0.0,89.87,-89.87,1.197610166400479e-06
rxn01790_c0,(R)-Pantoate:NADP+ 2-oxidoreductase,0.0,89.87,-89.87,1.197610166400479e-06
rxn00346_c0,L-aspartate 1-carboxy-lyase (beta-alanine-forming),0.0,89.87,-89.87,1.197610166400479e-06
rxn04866_c0,R07060,0.0,88.61,-88.61,2.129084740267518e-06
rxn04865_c0,R07059,0.0,88.61,-88.61,2.129084740267518e-06
rxn03962_c0,"GDP-L-fucose:NADP+ 4-oxidoreductase (3,5-epimerizing)",0.0,88.61,-88.61,2.129084740267518e-06
rxn02107_c0,salicylaldehyde:NAD+ oxidoreductase,85.71,7.59,78.12,1.287277389115592e-05
rxn12375_c0,transport of betaine [extraorganism-cytosol](secondary symport),0.0,83.54,-83.54,1.442715463859598e-05
EX_cpd00540_e0,BET-e0 Exchange,0.0,83.54,-83.54,1.442715463859598e-05
rxn05579_c0,"Glycine betaine transport via proton symport, reversible",0.0,83.54,-83.54,1.442715463859598e-05
rxn11216_c0,betaine ABC transporter permease and substrate binding protein,0.0,82.28,-82.28,2.1640731957893967e-05
rxn00657_c0,beta-alanine:2-oxoglutarate aminotransferase,14.29,89.87,-75.59,4.0878427013136355e-05
rxn00642_c0,"GDP-mannose 4,6-hydro-lyase (GDP-4-dehydro-6-deoxy-D-mannose-forming)",14.29,88.61,-74.32,6.733230491096026e-05
rxn12529_c0,TRANS-RXNAVI-26524.ce.brachyexp.GLYCEROL_GLYCEROL,0.0,69.62,-69.62,0.0004893870634518321
EX_cpd00100_e0,Glycerol-e0 Exchange,0.0,69.62,-69.62,0.0004893870634518321
rxn05578_c0,TRANS-RXNBWI-115531.ce,0.0,69.62,-69.62,0.0004893870634518321
rxn00358_c0,UDP-D-galactopyranose furanomutase,14.29,79.75,-65.46,0.0009204524659424234
rxn03340_c0,3-Methoxy-4-hydroxyphenylacetaldehyde:NAD+ oxidoreductase,100.0,35.44,64.56,0.0012514923879041724
rxn03341_c0,3-Methoxy-4-hydroxyphenylacetaldehyde:NADP+ oxidoreductase,100.0,35.44,64.56,0.0012514923879041724
rxn02744_c0,2-Aminomuconate semialdehyde:NAD+ 6-oxidoreductase,100.0,35.44,64.56,0.0012514923879041724
rxn03336_c0,"3,4-Dihydroxymandelaldehyde:NADP+ oxidoreductase",100.0,35.44,64.56,0.0012514923879041724
rxn01944_c0,4-Hydroxyphenylacetaldehyde:NADP+ oxidoreductase,100.0,35.44,64.56,0.0012514923879041724
rxn09977_c0,aldehyde dehydrogenase [NAD(P)+],100.0,35.44,64.56,0.0012514923879041724
rxn09882_c0,RXN-5581.c.metaexp.NADP_NADPH,100.0,35.44,64.56,0.0012514923879041724
rxn03358_c0,3-Hydroxykynurenamine:oxygen oxidoreductase(deaminating)(flavin-containing),0.0,64.56,-64.56,0.0012514923879041724
rxn03400_c0,3-Methylimidazole acetaldehyde:NAD+ oxidoreductase,100.0,35.44,64.56,0.0012514923879041724
rxn09974_c0,aldehyde dehydrogenase [NAD(P)+],100.0,35.44,64.56,0.0012514923879041724
