reaction,ec,kegg
rxn00001_c0,3.6.1.1,R00004
rxn00003_c0,2.2.1.6;4.1.3.18,R00006
rxn00006_c0,1.11.1.21;1.11.1.6,R00009
rxn00010_c0,4.1.1.47,R00013
rxn00011_c0,2.2.1.6;4.1.3.18,R00014
rxn00012_c0,2.4.1.99,R00015;R06135
rxn00019_c0,1.13.11.32;1.13.12.16,
rxn00029_c0,4.2.1.24,R00036
rxn00058_c0,1.9.3.1,
rxn00060_c0,2.5.1.61;4.3.1.8,R00084
rxn00062_c0,3.6.3.44;7.6.2.2,R00086
rxn00068_c0,1.16.1.7,R00092
rxn00069_c0,1.4.1.14,R00093
rxn00076_c0,3.6.1.19;3.6.1.23;3.6.1.9,R00103
rxn00077_c0,2.7.1.23,R00104
rxn00085_c0,1.4.1.13;2.6.1.53,R00114
rxn00088_c0,3.1.3.2,R00118
rxn00097_c0,2.7.4.3,R00127
rxn00100_c0,2.7.1.24,R00130
rxn00104_c0,2.7.4.1,
rxn00105_c0,2.7.7.18,R00137
rxn00106_c0,3.6.1.1,R00138
rxn00107_c0,2.7.4.6,R00139
rxn00113_c0,2.7.2.5;6.3.4.16,R00149
rxn00117_c0,2.7.4.6,R00156
rxn00119_c0,2.7.4.14;2.7.4.22;2.7.4.5,R00158
rxn00120_c0,3.6.1.15,R00159
rxn00121_c0,3.6.1.19;3.6.1.23;3.6.1.9,R00160
rxn00126_c0,2.4.2.13;2.5.1.6,R00177
rxn00132_c0,3.1.3.5,R00183
rxn00138_c0,6.3.1.5,R00189
rxn00139_c0,2.4.2.7,R00190
rxn00143_c0,3.2.2.9,R00194
rxn00145_c0,1.1.2.3,
rxn00146_c0,1.1.2.4,
rxn00147_c0,2.7.9.2,R00199
rxn00148_c0,2.7.1.40,R00200
rxn00149_c0,1.2.1.22,R00203
rxn00159_c0,1.1.1.38,R00214
rxn00161_c0,1.1.1.40,R00216
rxn00162_c0,1.1.1.40;4.1.1.112;4.1.1.3;7.2.4.2,R00217
rxn00165_c0,4.2.1.13;4.3.1.17,R00220;R00223
rxn00173_c0,2.3.1.8,R00230
rxn00175_c0,6.2.1.1,R00235
rxn00176_c0,6.2.1.1,R00236
rxn00179_c0,2.7.2.11,R00239
rxn00183_c0,1.2.1.88;1.5.1.12,R00245
rxn00184_c0,1.4.1.4,R00248
rxn00186_c0,3.5.2.9,
rxn00187_c0,6.3.1.2,R00253
rxn00189_c0,2.7.2.9;6.3.5.5,R00256
rxn00191_c0,2.6.1.2,R00258
rxn00192_c0,2.3.1.1,R00259
rxn00193_c0,5.1.1.3,R00260
rxn00196_c0,1.1.1.70;1.2.1.26;1.2.1.3,R00264
rxn00198_c0,1.1.1.42,R00267
rxn00199_c0,1.1.1.42,R00268
rxn00203_c0,4.1.1.71,R00272
rxn00204_c0,1.2.3.4,R00273
rxn00206_c0,1.15.1.1,
rxn00211_c0,1.1.1.22,
rxn00212_c0,3.6.1.19;3.6.1.23;3.6.1.9,
rxn00213_c0,2.7.7.64;2.7.7.9,
rxn00214_c0,5.1.3.2,
rxn00215_c0,4.2.1.76,
rxn00225_c0,2.7.2.1,R00315
rxn00226_c0,6.2.1.1,R00316
rxn00237_c0,2.7.4.6,R00330
rxn00238_c0,2.7.4.6,R00331
rxn00239_c0,2.7.4.8,R00332
rxn00241_c0,3.6.1.15,R00335
rxn00242_c0,3.1.7.2,R00336
rxn00247_c0,4.1.1.49,R00341
rxn00248_c0,1.1.1.37,R00342
rxn00256_c0,2.3.3.1;2.3.3.16;2.3.3.3;4.1.3.7,R00351
rxn00260_c0,2.6.1.1,R00355
rxn00262_c0,1.4.3.16,R00357
rxn00264_c0,1.1.3.3;1.1.5.4,R00360
rxn00272_c0,2.6.1.44,R00369
rxn00283_c0,5.1.1.1;5.1.1.10,R00401
rxn00285_c0,6.2.1.5,R00405
rxn00293_c0,2.7.7.23,
rxn00295_c0,5.1.3.2,R00418
rxn00299_c0,3.5.4.16,R00424
rxn00300_c0,3.5.4.25,R00425
rxn00301_c0,3.6.1.19;3.6.1.23;3.6.1.9,R00426
rxn00302_c0,3.5.4.16,
rxn00303_c0,2.7.6.5,R00429
rxn00304_c0,2.7.1.40,R00430
rxn00306_c0,6.2.1.4,R00432
rxn00313_c0,4.1.1.20,R00451
rxn00320_c0,5.1.1.10;5.1.1.5,R00460
rxn00337_c0,2.7.2.4,R00480
rxn00338_c0,1.4.3.16,R00481
rxn00342_c0,3.5.1.1,R00485
rxn00346_c0,4.1.1.11,R00489
rxn00347_c0,4.3.1.1,R00490
rxn00355_c0,2.7.7.10;2.7.7.64,R00502
rxn00358_c0,5.4.99.9,R00505
rxn00359_c0,3.6.1.19;3.6.1.23;3.6.1.9,R00507
rxn00363_c0,3.1.3.5,R00511
rxn00364_c0,2.7.4.14;2.7.4.22;2.7.4.5,R00512
rxn00380_c0,2.7.7.5,R00530
rxn00383_c0,1.8.3.1,R00533
rxn00391_c0,3.1.3.2,R00548
rxn00394_c0,3.5.3.1,R00551
rxn00401_c0,1.13.12.1,R00559
rxn00405_c0,4.1.1.19,R00566
rxn00407_c0,3.5.4.13,R00568
rxn00408_c0,3.6.1.15,R00569
rxn00409_c0,2.7.4.6,R00570
rxn00410_c0,6.3.4.2,R00571
rxn00411_c0,2.7.1.40,R00572
rxn00412_c0,6.3.4.2,R00573
rxn00414_c0,2.7.2.9;6.3.5.5,R00575
rxn00420_c0,3.1.3.3,R00582
rxn00423_c0,2.3.1.30,R00586
rxn00425_c0,5.1.1.10;5.1.1.18,R00589
rxn00426_c0,4.2.1.13;4.3.1.17,R00590
rxn00427_c0,1.11.1.21;1.11.1.6,R00602
rxn00429_c0,1.2.1.46,R00604
rxn00436_c0,3.6.1.15,R00615
rxn00442_c0,4.1.1.71,
rxn00453_c0,2.5.1.49,R00651
