strain,CC,mu_western_diet,status_mu_western_diet,ex_opened_mu_western_diet,ex_missing_mu_western_diet,mu_high_fiber_diet,status_mu_high_fiber_diet,ex_opened_mu_high_fiber_diet,ex_missing_mu_high_fiber_diet
cmccj_0565,ST-21 complex,0.3706701993243029,optimal,50,18,0.32303563491190146,optimal,50,19
cmccj_0566,ST-21 complex,0.3706701993243029,optimal,50,18,0.32303563491190146,optimal,50,19
cmccj_0567,ST-21 complex,0.370670199324297,optimal,51,17,0.32303563491189696,optimal,51,18
cmccj_0568,ST-607 complex,0.3476809322319408,optimal,53,15,0.2979457365556812,optimal,53,16
cmccj_0569,ST-21 complex,0.3706701993243029,optimal,50,18,0.32303563491190146,optimal,50,19
cmccj_0570,ST-21 complex,0.3798908510487828,optimal,50,18,0.33465032519160415,optimal,50,19
cmccj_0571,ST-464 complex,0.37045450072804686,optimal,48,20,0.3228340060076532,optimal,48,21
cmccj_0582,ST-22 complex,0.35844479873196716,optimal,48,20,0.30655882312600563,optimal,48,21
cmccj_0584,ST-607 complex,0.37067019932430556,optimal,51,17,0.32303563491189985,optimal,51,18
cmccj_0593,ST-21 complex,0.3706701993243029,optimal,50,18,0.32303563491190146,optimal,50,19
cmccj_0594,ST-21 complex,0.3706701993242937,optimal,50,18,0.32303563491189036,optimal,50,19
cmccj_0596,ST-48 complex,0.3577612869099987,optimal,49,19,0.30583458938941616,optimal,49,20
cmccj_0597,ST-21 complex,0.3706701993243029,optimal,50,18,0.32303563491190146,optimal,50,19
cmccj_0598,ST-443 complex,0.37402907820314646,optimal,50,18,0.3280386849849752,optimal,50,19
cmccj_0599,ST-21 complex,0.35776128691001763,optimal,49,19,0.305834589389427,optimal,49,20
cmccj_0601,ST-21 complex,0.35776128691002,optimal,49,19,0.3058345893894317,optimal,49,20
cmccj_0603,ST-42 complex,0.36426877623181914,optimal,48,20,0.3109889277403398,optimal,48,21
cmccj_0604,ST-443 complex,0.34782854586092854,optimal,50,18,0.29806927156763047,optimal,50,19
cmccj_0605,ST-443 complex,0.34718488598760666,optimal,50,18,0.29738455011023407,optimal,50,19
cmccj_0606,ST-21 complex,0.3706701993243019,optimal,50,18,0.32303563491190024,optimal,50,19
cmccj_0607,ST-21 complex,0.3706701993243019,optimal,50,18,0.32303563491190024,optimal,50,19
cmccj_0608,ST-4739 complex,0.37067019932429995,optimal,47,21,0.3230356349118989,optimal,47,22
cmccj_0609,ST-45 complex,0.39257118733868274,optimal,52,16,0.3457575340128485,optimal,52,17
cmccj_0610,ST-21 complex,0.3706701993243029,optimal,50,18,0.32303563491190146,optimal,50,19
cmccj_0611,ST-21 complex,0.3706701993243029,optimal,50,18,0.32303563491190146,optimal,50,19
cmccj_0614,ST-607 complex,0.34703781805836686,optimal,52,16,0.29726158189585444,optimal,52,17
cmccj_0615,ST-443 complex,0.3471848859876061,optimal,49,19,0.29738455011023146,optimal,49,20
cmccj_0616,ST-443 complex,0.3471848859876347,optimal,49,19,0.2973845501102326,optimal,49,20
cmccj_0617,ST-5229 complex,0.37067019932429524,optimal,50,18,0.32303563491188236,optimal,50,19
cmccj_0618,ST-464 complex,0.3577612869101057,optimal,47,21,0.30583458938951197,optimal,47,22
cmccj_0619,ST-45 complex,0.35755310020517783,optimal,52,16,0.3056436968485592,optimal,52,17
cmccj_0620,ST-443 complex,0.3471848859876347,optimal,49,19,0.2973845501102326,optimal,49,20
cmccj_0621,ST-443 complex,0.34718488598761166,optimal,49,19,0.29738455011023385,optimal,49,20
cmccj_0622,ST-45 complex,0.3740290782031395,optimal,53,15,0.3280386849849713,optimal,53,16
cmccj_1186,ST-21 complex,0.3577612869100203,optimal,51,17,0.3058345893894324,optimal,51,18
cmccj_1187,ST-21 complex,0.3706701993243029,optimal,50,18,0.32303563491190146,optimal,50,19
cmccj_1188,ST-464 complex,0.35776128691001946,optimal,47,21,0.30640899222746965,optimal,47,22
cmccj_1190,ST-45 complex,0.3740290782031395,optimal,53,15,0.3280386849849713,optimal,53,16
cmccj_1196,ST-45 complex,0.3706701993243158,optimal,54,14,0.323035634911896,optimal,54,15
cmccj_1207,ST-658 complex,0.3706701993243029,optimal,50,18,0.3230356349118917,optimal,50,19
cmccj_1223,ST-5229 complex,0.37067019932429923,optimal,50,18,0.32303563491189247,optimal,50,19
cmccj_1231,ST-21 complex,0.3706701993242968,optimal,50,18,0.3230356349119032,optimal,50,19
cmccj_1236,ST-21 complex,0.3706701993242988,optimal,51,17,0.3230356349118971,optimal,51,18
cmccj_1238,ST-353 complex,0.37067019932429585,optimal,49,19,0.32303563491189863,optimal,49,20
cmccj_1244,ST-21 complex,0.3577612869100161,optimal,50,18,0.30583458938942937,optimal,50,19
cmccj_1271,ST-61 complex,0.36426877623181686,optimal,47,21,0.31098892774060455,optimal,47,22
cmccj_1272,ST-21 complex,0.3706701993242977,optimal,50,18,0.3230356349118996,optimal,50,19
cmccj_1273,ST-45 complex,0.5934793049615285,optimal,53,15,0.3732898611260395,optimal,53,16
cmccj_1278-1,ST-21 complex,0.370670199324297,optimal,51,17,0.32303563491189696,optimal,51,18
cmccj_1279,ST-21 complex,0.3983321544977579,optimal,51,17,0.35149124373737384,optimal,51,18
cmccj_1611,ST-21 complex,0.3577612869100252,optimal,49,19,0.3058345893894347,optimal,49,20
cmccj_1612,ST-14222 complex,0.3471848859876042,optimal,47,21,0.2973845501102331,optimal,47,22
cmccj_1613,ST-354 complex,0.3706701993243009,optimal,50,18,0.32306804945134254,optimal,50,19
cmccj_1616,ST-354 complex,0.3706701993243009,optimal,50,18,0.32306804945134254,optimal,50,19
cmccj_1617,ST-48 complex,0.3706701993243067,optimal,51,17,0.32303563491190934,optimal,51,18
cmccj_1618,ST-48 complex,0.3706701993243067,optimal,51,17,0.32303563491190934,optimal,51,18
cmccj_1806,ST-21 complex,0.37067019932429807,optimal,50,18,0.32303563491189513,optimal,50,19
cmccj_1811,ST-206 complex,0.37067019932430373,optimal,50,18,0.32303563491189663,optimal,50,19
cmccj_1814,ST-21 complex,0.3706701993243049,optimal,50,18,0.3230356349119029,optimal,50,19
cmccj_1822,ST-14223 complex,0.3470378180583711,optimal,46,22,0.29726158189585444,optimal,46,23
cmccj_1823,ST-658 complex,0.37067019932430456,optimal,48,20,0.3230356349119032,optimal,48,21
cmccj_1824,ST-658 complex,0.37067019932430456,optimal,48,20,0.3230356349119032,optimal,48,21
cmccj_1825,ST-658 complex,0.37067019932430456,optimal,48,20,0.3230356349119032,optimal,48,21
cmccj_1827,ST-21 complex,0.37045450072804503,optimal,49,19,0.3228340060076535,optimal,49,20
cmccj_1828,ST-21 complex,0.370670199324297,optimal,51,17,0.32303563491189696,optimal,51,18
cmccj_1829,ST-5229 complex,0.3577612869100236,optimal,48,20,0.30583458938943325,optimal,48,21
cmccj_1830,ST-21 complex,0.370670199324297,optimal,51,17,0.32303563491189696,optimal,51,18
cmccj_1831,ST-21 complex,0.37045450072804503,optimal,49,19,0.3228340060076535,optimal,49,20
cmccj_1832,ST-21 complex,0.37045450072804503,optimal,49,19,0.3228340060076535,optimal,49,20
cmccj_1833,ST-21 complex,0.370670199324297,optimal,51,17,0.32303563491189696,optimal,51,18
cmccj_1834,ST-21 complex,0.370670199324297,optimal,51,17,0.32303563491189696,optimal,51,18
cmccj_1835,ST-21 complex,0.370670199324297,optimal,51,17,0.32303563491189696,optimal,51,18
cmccj_1836,ST-21 complex,0.370670199324297,optimal,51,17,0.32303563491189696,optimal,51,18
cmccj_1837,ST-607 complex,0.0,optimal,51,17,0.0,optimal,51,18
cmccj_1839,ST-354 complex,0.37067019932430134,optimal,50,18,0.3230356349118981,optimal,50,19
cmccj_1840,ST-354 complex,0.37067019932430134,optimal,50,18,0.3230356349118981,optimal,50,19
cmccj_1841,ST-607 complex,0.0,optimal,51,17,0.0,optimal,51,18
cmccj_1842,ST-354 complex,0.37067019932430134,optimal,50,18,0.3230356349118981,optimal,50,19
cmccj_1843,ST-464 complex,0.3706701993242998,optimal,49,19,0.3230356349120233,optimal,49,20
cmccj_1845,ST-464 complex,0.37067019932430056,optimal,49,19,0.32303563491190024,optimal,49,20
cmccj_1846,ST-464 complex,0.37067019932430056,optimal,49,19,0.32303563491190024,optimal,49,20
cmccj_1847,ST-21 complex,0.35776128691002096,optimal,51,17,0.3058345893894342,optimal,51,18
cmccj_1848,ST-21 complex,0.3577612869100203,optimal,51,17,0.3058345893894324,optimal,51,18
cmccj_1853,ST-354 complex,0.3706701993243009,optimal,50,18,0.32306804945134254,optimal,50,19
cmccj_1855,ST-354 complex,0.37067019932430134,optimal,50,18,0.3230356349118981,optimal,50,19
cmccj_1856,ST-354 complex,0.37067019932430134,optimal,50,18,0.3230356349118981,optimal,50,19
