reaction,name
DM_cpd01042_c0,Sink needed for p-cresol
EX_cpd00001_e0,H2O-e0 Exchange
EX_cpd00003_e0,NAD-e0 Exchange
EX_cpd00007_e0,O2-e0 Exchange
EX_cpd00009_e0,Phosphate-e0 Exchange
EX_cpd00010_e0,CoA-e0 Exchange
EX_cpd00011_e0,CO2-e0 Exchange
EX_cpd00013_e0,NH3-e0 Exchange
EX_cpd00020_e0,Pyruvate-e0 Exchange
EX_cpd00023_e0,L-Glutamate-e0 Exchange
EX_cpd00024_e0,2-Oxoglutarate-e0 Exchange
EX_cpd00025_e0,H2O2-e0 Exchange
EX_cpd00027_e0,D-Glucose-e0 Exchange
EX_cpd00028_e0,Heme-e0 Exchange
EX_cpd00029_e0,Acetate-e0 Exchange
EX_cpd00030_e0,Mn2+ Exchange
EX_cpd00033_e0,Glycine-e0 Exchange
EX_cpd00034_e0,Zn2+-e0 Exchange
EX_cpd00035_e0,L-Alanine-e0 Exchange
EX_cpd00036_e0,Succinate-e0 Exchange
EX_cpd00039_e0,L-Lysine-e0 Exchange
EX_cpd00041_e0,L-Aspartate-e0 Exchange
EX_cpd00047_e0,Formate-e0 Exchange
EX_cpd00048_e0,Sulfate-e0 Exchange
EX_cpd00051_e0,L-Arginine-e0 Exchange
EX_cpd00053_e0,L-Glutamine-e0 Exchange
EX_cpd00054_e0,L-Serine-e0 Exchange
EX_cpd00055_e0,Formaldehyde-e0 Exchange
EX_cpd00058_e0,Cu2+-e0 Exchange
EX_cpd00060_e0,L-Methionine-e0 Exchange
EX_cpd00063_e0,Ca2+-e0 Exchange
EX_cpd00064_e0,Ornithine-e0 Exchange
EX_cpd00067_e0,H+-e0 Exchange
EX_cpd00069_e0,L-Tyrosine Exchange
EX_cpd00071_e0,Acetaldehyde-e0 Exchange
EX_cpd00073_e0,Urea-e0 Exchange
EX_cpd00080_e0,Glycerol-3-phosphate-e0 Exchange
EX_cpd00082_e0,D-Fructose-e0 Exchange
EX_cpd00084_e0,L-Cysteine-e0 Exchange
EX_cpd00098_e0,Choline-e0 Exchange
EX_cpd00099_e0,Cl--e0 Exchange
EX_cpd00100_e0,Glycerol-e0 Exchange
EX_cpd00105_e0,D-Ribose-e0 Exchange
EX_cpd00106_e0,Fumarate-e0 Exchange
EX_cpd00107_e0,L-Leucine-e0 Exchange
EX_cpd00108_e0,Galactose-e0 Exchange
EX_cpd00116_e0,Methanol-e0 Exchange
EX_cpd00118_e0,Putrescine-e0 Exchange
EX_cpd00119_e0,L-Histidine-e0 Exchange
